US Electronic Short Form Leads
NAUT8002439827201601021047ELED00000100000085755520CUS-20592064               dseesf14aBMT
NAUT8002439827201601021051ELED00000100000089166414CUS-20592088               dseesf14aBMT
NAUT8002439827201601021052ELED00000100000019808302CUS-20592091               dseesf14aBMT
NAUT8002439827201601021058ELED00000100000078621860CUS-20592114               dseesf14aBMT
NAUT8002439827201601021111ELED00000100000055060507CUS-20592169               SAWDSEESF14ABMT
NAUT8002439827201601021116ELED00000100000029044CUS-20592227               dseesf14aBMT
NAUT8002439827201601021117ELED00000100000054914920CUS-20592237               dseesf14aBMT
NAUT8002439827201601021118ELED00000100000084095801CUS-20592245               dseesf14aBMT
NAUT8002439827201601021122ELED00000100000043542419CUS-20592280               dseesf14aBMT
NAUT8002439827201601021122ELED00000100000077584281CUS-20592278               dseesf14aBMT
NAUT8002439827201601021123ELED00000100000019355610CUS-20592285               dseesf14aBMT
NAUT8002439827201601021123ELED00000100000067101626CUS-20592291               dseesf14aBMT
NAUT8002439827201601021125ELED00000100000098513CUS-20592301               dseesf14aBMT
NAUT8002439827201601021155ELED00000100000098513253CUS-20592478               dseesf14aBMT
NAUT8002439827201601021156ELED00000100000032055386CUS-20592494               dseesf14aBMT
NAUT8002439827201601021159ELED00000100000090802562CUS-20592518               dseesf14aBMT
NAUT8002439827201601021210ELED00000100000055060507CUS-20592628               dseesf14aBMT
NAUT8002439827201601021211ELED00000100000091740626CUS-20592637               dseesf14aBMT
NAUT8002439827201601021212ELED00000100000090620562CUS-20592644               dseesf14aBMT
NAUT8002439827201601021215ELED00000100000078239210CUS-20592665               dseesf14aBMT
NAUT8002439827201601021227ELED00000100000012866937CUS-20592738               dseesf14aBMT
NAUT8002439827201601021232ELED00000100000090033323CUS-20592792               dseesf14aBMT
NAUT8002439827201601021233ELED00000100000054216920CUS-20592801               dseesf14aBMT
NAUT8002439827201601021236ELED00000100000012496518CUS-20592821               dseesf14aBMT
NAUT8002439827201601021236ELED00000100000084065801CUS-20592817               dseesf14aBMT
NAUT8002439827201601021237ELED00000100000035570205CUS-20592828               dseesf14aBMT
NAUT8002439827201601021237ELED00000100000085296480CUS-20592826               dseesf14aBMT
NAUT8002439827201601021239ELED00000100000011203917CUS-20592843               dseesf14aBMT
NAUT8002439827201601021239ELED00000100000084095801CUS-20592841               dseesf14aBMT
NAUT8002439827201601021249ELED00000100000065355660CUS-20592903               SAWDSEESF14ABMT
NAUT8002439827201601021305ELED00000100000007070201CUS-20593005               dseesf14aBMT
NAUT8002439827201601021309ELED00000100000064056816CUS-20593047               dseesf14aBMT
NAUT8002439827201601021345ELED00000100000077388713CUS-20593255               dseesf14aBMT
NAUT8002439827201601021348ELED00000100000037354423CUS-20593286               dseesf14aBMT
NAUT8002439827201601021348ELED00000100000052402319CUS-20593283               dseesf14aBMT
NAUT8002439827201601021349ELED00000100000012831518CUS-20593289               dseesf14aBMT
NAUT8002439827201601021352ELED00000100000089415775CUS-20593327               dseesf14aBMT
NAUT8002439827201601021423ELED00000100000037920CUS-20593486               dseesf14aBMT
NAUT8002439827201601021424ELED00000100000043316419CUS-20593489               dseesf14aBMT
NAUT8002439827201601021424ELED00000100000046135765CUS-20593493               dseesf14aBMT
NAUT8002439827201601021424ELED00000100000060438773CUS-20593492               dseesf14aBMT
NAUT8002439827201601021424ELED00000100000085501928CUS-20593502               dseesf14aBMT
NAUT8002439827201601021426ELED00000100000045449937CUS-20593516               dseesf14aBMT
NAUT8002439827201601021438ELED00000100000043119CUS-20593659               dseesf14aBMT
NAUT8002439827201601021508ELED00000100000032128386CUS-20593813               dseesf14aBMT
NAUT8002439827201601021515ELED00000100000070634337CUS-20593842               dseesf14aBMT
NAUT8002439827201601021534ELED00000100000007028973CUS-20593907               dseesf14aBMT
NAUT8002439827201601021534ELED00000100000027330616CUS-20593911               dseesf14aBMT
NAUT8002439827201601021534ELED00000100000033417954CUS-20593903               dseesf14aBMT
NAUT8002439827201601021535ELED00000100000028092704CUS-20593922               dseesf14aBMT
NAUT8002439827201601021535ELED00000100000070634337CUS-20593929               dseesf14aBMT
NAUT8002439827201601021536ELED00000100000044081440CUS-20593942               dseesf14aBMT
NAUT8002439827201601021537ELED00000100000006880212CUS-20593957               dseesf14aBMT
NAUT8002439827201601021537ELED00000100000028092CUS-20593954               dseesf14aBMT
NAUT8002439827201601021537ELED00000100000043232614CUS-20593947               dseesf14aBMT
NAUT8002439827201601021537ELED00000100000076205940CUS-20593944               dseesf14aBMT
NAUT8002439827201601021541ELED00000100000047302765CUS-20594002               dseesf14aBMT
NAUT8002439827201601021541ELED00000100000060527630CUS-20594000               dseesf14aBMT
NAUT8002439827201601021542ELED00000100000010604917CUS-20594010               dseesf14aBMT
NAUT8002439827201601021542ELED00000100000027105CUS-20594009               dseesf14aBMT
NAUT8002439827201601021542ELED00000100000047302765CUS-20594014               dseesf14aBMT
NAUT8002439827201601021542ELED00000100000062062618CUS-20594023               dseesf14aBMT
NAUT8002439827201601021542ELED00000100000092231760CUS-20594019               dseesf14aBMT
NAUT8002439827201601021543ELED00000100000007090917CUS-20594030               dseesf14aBMT
NAUT8002439827201601021543ELED00000100000019475484CUS-20594036               dseesf14aBMT
NAUT8002439827201601021543ELED00000100000077441281CUS-20594033               dseesf14aBMT
NAUT8002439827201601021544ELED00000100000078064830CUS-20594041               dseesf14aBMT
NAUT8002439827201601021545ELED00000100000021704301CUS-20594051               dseesf14aBMT
NAUT8002439827201601021545ELED00000100000032258904CUS-20594053               dseesf14aBMT
NAUT8002439827201601021545ELED00000100000033837407CUS-20594049               dseesf14aBMT
NAUT8002439827201601021545ELED00000100000096734808CUS-20594046               dseesf14aBMT
NAUT8002439827201601021546ELED00000100000011596212CUS-20594057               dseesf14aBMT
NAUT8002439827201601021546ELED00000100000032258CUS-20594059               dseesf14aBMT
NAUT8002439827201601021547ELED00000100000078052210CUS-20594078               dseesf14aBMT
NAUT8002439827201601021547ELED00000100000090808562CUS-20594071               dseesf14aBMT
NAUT8002439827201601021551ELED00000100000007026862CUS-20594116               dseesf14aBMT
NAUT8002439827201601021551ELED00000100000044620330CUS-20594115               dseesf14aBMT
NAUT8002439827201601021551ELED00000100000057735605CUS-20594114               dseesf14aBMT
NAUT8002439827201601021552ELED00000100000010457347CUS-20594117               dseesf14aBMT
NAUT8002439827201601021552ELED00000100000011221917CUS-20594120               dseesf14aBMT
NAUT8002439827201601021552ELED00000100000044312216CUS-20594121               dseesf14aBMT
NAUT8002439827201601021552ELED00000100000078264210CUS-20594122               dseesf14aBMT
NAUT8002439827201601021553ELED00000100000045335937CUS-20594126               dseesf14aBMT
NAUT8002439827201601021554ELED00000100000011714917CUS-20594127               dseesf14aBMT
NAUT8002439827201601021554ELED00000100000034759856CUS-20594134               dseesf14aBMT
NAUT8002439827201601021554ELED00000100000094544510CUS-20594131               dseesf14aBMT
NAUT8002439827201601021555ELED00000100000022309202CUS-20594135               dseesf14aBMT
NAUT8002439827201601021555ELED00000100000027105774CUS-20594139               dseesf14aBMT
NAUT8002439827201601021556ELED00000100000054001715CUS-20594152               dseesf14aBMT
NAUT8002439827201601021556ELED00000100000077073713CUS-20594148               dseesf14aBMT
NAUT8002439827201601021556ELED00000100000077073CUS-20594146               dseesf14aBMT
NAUT8002439827201601021557ELED00000100000007003570CUS-20594154               dseesf14aBMT
NAUT8002439827201601021557ELED00000100000044902419CUS-20594159               dseesf14aBMT
NAUT8002439827201601021557ELED00000100000070458985CUS-20594162               dseesf14aBMT
NAUT8002439827201601021557ELED00000100000085043480CUS-20594156               dseesf14aBMT
NAUT8002439827201601021558ELED00000100000020603240CUS-20594169               dseesf14aBMT
NAUT8002439827201601021559ELED00000100000007106CUS-20594174               dseesf14aBMT
NAUT8002439827201601021559ELED00000100000032466850CUS-20594171               dseesf14aBMT
NAUT8002439827201601021559ELED00000100000057735605CUS-20594170               dseesf14aBMT
NAUT8002439827201601021600ELED00000100000006416860CUS-20594175               dseesf14aBMT
NAUT8002439827201601021601ELED00000100000028001704CUS-20594181               dseesf14aBMT
NAUT8002439827201601021604ELED00000100000002127603CUS-20594205               dseesf14aBMT
NAUT8002439827201601021604ELED00000100000045403937CUS-20594201               dseesf14aBMT
NAUT8002439827201601021607ELED00000100000047714812CUS-20594216               dseesf14aBMT
NAUT8002439827201601021613ELED00000100000003833603CUS-20594275               dseesf14aBMT
NAUT8002439827201601021613ELED00000100000062712217CUS-20594271               dseesf14aBMT
NAUT8002439827201601021620ELED00000100000080134720CUS-20594337               dseesf14aBMT
NAUT8002439827201601021621ELED00000100000085022602CUS-20594343               dseesf14aBMT
NAUT8002439827201601021633ELED00000100000032735718CUS-20594392               SAWDSEESF14ABMT
NAUT8002439827201601021654ELED00000100000010314917CUS-20594502               dseesf14aBMT
NAUT8002439827201601021654ELED00000100000079932915CUS-20594499               dseesf14aBMT
NAUT8002439827201601021656ELED00000100000034683708CUS-20594531               dseesf14aBMT
NAUT8002439827201601021656ELED00000100000075094214CUS-20594528               dseesf14aBMT
NAUT8002439827201601021657ELED00000100000020120571CUS-20594545               dseesf14aBMT
NAUT8002439827201601021657ELED00000100000078264210CUS-20594542               dseesf14aBMT
NAUT8002439827201601021658ELED00000100000010541845CUS-20594549               dseesf14aBMT
NAUT8002439827201601021658ELED00000100000017519717CUS-20594559               dseesf14aBMT
NAUT8002439827201601021658ELED00000100000078613512CUS-20594552               dseesf14aBMT
NAUT8002439827201601021659ELED00000100000003049603CUS-20594572               dseesf14aBMT
NAUT8002439827201601021659ELED00000100000008060609CUS-20594565               dseesf14aBMT
NAUT8002439827201601021659ELED00000100000033304646CUS-20594569               dseesf14aBMT
NAUT8002439827201601021659ELED00000100000065401573CUS-20594562               dseesf14aBMT
NAUT8002439827201601021700ELED00000100000003049603CUS-20594587               dseesf14aBMT
NAUT8002439827201601021700ELED00000100000037330CUS-20594586               dseesf14aBMT
NAUT8002439827201601021700ELED00000100000095125408CUS-20594574               dseesf14aBMT
NAUT8002439827201601021702ELED00000100000000612787CUS-20594608               dseesf14aBMT
NAUT8002439827201601021703ELED00000100000008302856CUS-20594621               dseesf14aBMT
NAUT8002439827201601021703ELED00000100000078245210CUS-20594615               dseesf14aBMT
NAUT8002439827201601021703ELED00000100000084501435CUS-20594618               dseesf14aBMT
NAUT8002439827201601021713ELED00000100000033176786CUS-20594696               dseesf14aBMT
