US Electronic Short Form Leads
NAUT8007206360201511092326ELED00000100000078572956CUS-20462116               DSETSF15BTRC
NAUT8007206390201511091446ELED00000100000010305551CUS-20461609               DSETSF15CTRC
NAUT8008483965201511090848ELED00000100000098923509CUS-20461016               DSEESF14GBMT
NAUT8008483965201511090922ELED00000100000045311937CUS-20461073               DSEESF14GBMT
NAUT8008483965201511090952ELED00000100000070818225CUS-20461150               DSEESF14GBMT
NAUT8008483965201511091754ELED00000100000096819808CUS-20461832               DSEESF14GBMT
NAUT8008494691201511090807ELED00000100000017015717CUS-20460939               dsetsf11dTRC
NAUT8008494691201511090821ELED00000100000019136267CUS-20460967               dsetsf11dTRC
NAUT8008494691201511090941ELED00000100000092231760CUS-20461120               dsetsf11dTRC
NAUT8008494691201511091222ELED00000100000012981518CUS-20461407               dsetsf11dTRC
NAUT8008494691201511091332ELED00000100000041018859CUS-20461498               dsetsf11dTRC
NAUT8008494691201511091337ELED00000100000076711254CUS-20461503               dsetsf11dTRC
NAUT8008494691201511091556ELED00000100000098366704CUS-20461697               dsetsf11dTRC
NAUT8008494691201511091643ELED00000100000077388281CUS-20461755               dsetsf11dTRC
NAUT8008494691201511091858ELED00000100000073051405CUS-20461893               dsetsf11dTRC
NAUT8008494691201511092045ELED00000100000016242814CUS-20462012               dsetsf11dTRC
NAUT8008494691201511092132ELED00000100000078681CUS-20462052               dsetsf11dTRC
NAUT8008494691201511092140ELED00000100000048336313CUS-20462064               dsetsf11dTRC
NAUT8009528621201511090006ELED00000100000046235317CUS-20460583               dsetsf12aTRC
NAUT8009528621201511090030ELED00000100000029483CUS-20460597               dsetsf12aTRC
NAUT8009528621201511090049ELED00000100000061884312CUS-20460606               dsetsf12aTRC
NAUT8009528621201511090107ELED00000100000013090207CUS-20460615               dsetsf12aTRC
NAUT8009528621201511090150ELED00000100000084041801CUS-20460631               dsetsf12aTRC
NAUT8009528621201511090156ELED00000100000010504914CUS-20460633               dsetsf12aTRC
NAUT8009528621201511090202ELED00000100000078641512CUS-20460635               dsetsf12aTRC
NAUT8009528621201511090232ELED00000100000097266503CUS-20460647               dsetsf12aTRC
NAUT8009528621201511090238ELED00000100000011692646CUS-20460649               dsetsf12aTRC
NAUT8009528621201511090244ELED00000100000084057808CUS-20460651               dsetsf12aTRC
NAUT8009528621201511090250ELED00000100000058579701CUS-20460653               dsetsf12aTRC
NAUT8009528621201511090256ELED00000100000075750903CUS-20460655               dsetsf12aTRC
NAUT8009528621201511090308ELED00000100000032926321CUS-20460660               dsetsf12aTRC
NAUT8009528621201511090314ELED00000100000024134540CUS-20460663               dsetsf12aTRC
NAUT8009528621201511090321ELED00000100000049093269CUS-20460665               dsetsf12aTRC
NAUT8009528621201511090333ELED00000100000053033262CUS-20460672               dsetsf12aTRC
NAUT8009528621201511090339ELED00000100000077469281CUS-20460675               dsetsf12aTRC
NAUT8009528621201511090346ELED00000100000013367315CUS-20460677               dsetsf12aTRC
NAUT8009528621201511090352ELED00000100000092410909CUS-20460680               dsetsf12aTRC
NAUT8009528621201511090358ELED00000100000075650903CUS-20460682               dsetsf12aTRC
NAUT8009528621201511090405ELED00000100000018104610CUS-20460687               dsetsf12aTRC
NAUT8009528621201511090411ELED00000100000012851518CUS-20460689               dsetsf12aTRC
NAUT8009528621201511090417ELED00000100000077422979CUS-20460691               dsetsf12aTRC
NAUT8009528621201511090423ELED00000100000067474785CUS-20460694               dsetsf12aTRC
NAUT8009528621201511090436ELED00000100000028525252CUS-20460701               dsetsf12aTRC
NAUT8009528621201511090510ELED00000100000047424812CUS-20460717               dsetsf12aTRC
NAUT8009528621201511090550ELED00000100000033782813CUS-20460745               dsetsf12aTRC
NAUT8009528621201511090602ELED00000100000058368701CUS-20460750               dsetsf12aTRC
NAUT8009528621201511090609ELED00000100000090042213CUS-20460759               dsetsf12aTRC
NAUT8009528621201511090614ELED00000100000020676301CUS-20460762               dsetsf12aTRC
NAUT8009528621201511090620ELED00000100000022407540CUS-20460768               dsetsf12aTRC
NAUT8009528621201511090626ELED00000100000070068225CUS-20460776               dsetsf12aTRC
NAUT8009528621201511090632ELED00000100000037146615CUS-20460781               dsetsf12aTRC
NAUT8009528621201511090644ELED00000100000088345510CUS-20460798               dsetsf12aTRC
NAUT8009528621201511090652ELED00000100000027051336CUS-20460809               dsetsf12aTRC
NAUT8009528621201511090656ELED00000100000088045575CUS-20460813               dsetsf12aTRC
NAUT8009528621201511090708ELED00000100000076036817CUS-20460830               dsetsf12aTRC
NAUT8009528621201511090709ELED00000100000073119CUS-20460832               dsetsf12aTRC
NAUT8009528621201511090715ELED00000100000037146615CUS-20460842               dsetsf12aTRC
NAUT8009528621201511090742ELED00000100000010914845CUS-20460883               dsetsf12aTRC
NAUT8009528621201511090748ELED00000100000073119CUS-20460897               dsetsf12aTRC
NAUT8009528621201511090800ELED00000100000036260256CUS-20460924               dsetsf12aTRC
NAUT8009528621201511090808ELED00000100000033186CUS-20460940               dsetsf12aTRC
NAUT8009528621201511090841ELED00000100000045011CUS-20461002               dsetsf12aTRC
NAUT8009528621201511090934ELED00000100000090505830CUS-20461102               dsetsf12aTRC
NAUT8009528621201511090948ELED00000100000037172615CUS-20461139               dsetsf12aTRC
NAUT8009528621201511090948ELED00000100000095304319CUS-20461140               dsetsf12aTRC
NAUT8009528621201511090949ELED00000100000023868CUS-20461141               dsetsf12aTRC
NAUT8009528621201511091051ELED00000100000046797260CUS-20461261               dsetsf12aTRC
NAUT8009528621201511091103ELED00000100000038961662CUS-20461285               dsetsf12aTRC
NAUT8009528621201511091111ELED00000100000048838616CUS-20461292               dsetsf12aTRC
NAUT8009528621201511091117ELED00000100000011746631CUS-20461310               dsetsf12aTRC
NAUT8009528621201511091124ELED00000100000021713301CUS-20461322               dsetsf12aTRC
NAUT8009528621201511091131ELED00000100000010468347CUS-20461331               dsetsf12aTRC
NAUT8009528621201511091137ELED00000100000053154414CUS-20461344               dsetsf12aTRC
NAUT8009528621201511091205ELED00000100000008360856CUS-20461369               dsetsf12aTRC
NAUT8009528621201511091210ELED00000100000010312917CUS-20461378               dsetsf12aTRC
NAUT8009528621201511091212ELED00000100000077612409CUS-20461383               dsetsf12aTRC
NAUT8009528621201511091216ELED00000100000029045803CUS-20461396               dsetsf12aTRC
NAUT8009528621201511091229ELED00000100000010990845CUS-20461418               dsetsf12aTRC
NAUT8009528621201511091308ELED00000100000065802505CUS-20461462               dsetsf12aTRC
NAUT8009528621201511091321ELED00000100000074450918CUS-20461476               dsetsf12aTRC
NAUT8009528621201511091357ELED00000100000094561924CUS-20461546               dsetsf12aTRC
NAUT8009528621201511091604ELED00000100000070551337CUS-20461707               dsetsf12aTRC
NAUT8009528621201511091623ELED00000100000079915915CUS-20461731               dsetsf12aTRC
NAUT8009528621201511091730ELED00000100000071923870CUS-20461816               dsetsf12aTRC
NAUT8009528621201511091736ELED00000100000099302509CUS-20461821               dsetsf12aTRC
NAUT8009528621201511091742ELED00000100000085019602CUS-20461825               dsetsf12aTRC
NAUT8009528621201511091748ELED00000100000070123832CUS-20461828               dsetsf12aTRC
NAUT8009528621201511091802ELED00000100000029569843CUS-20461842               dsetsf12aTRC
NAUT8009528621201511091816ELED00000100000095963530CUS-20461852               dsetsf12aTRC
NAUT8009528621201511091836ELED00000100000033073954CUS-20461876               SAWSF12ATRC
NAUT8009528621201511091910ELED00000100000092346909CUS-20461909               dsetsf12aTRC
