US Short Form Leads
NAUT8004367224201601310634LEAD00000100000033313954CUS-20681847               AMC*N60*J14FSTICBMT
NAUT8004367224201601310636LEAD00000100000075126972CUS-20681850               AMC*N60*J14FSTICBMT
NAUT8004367224201601310646LEAD00000100000079735530CUS-20681851               AMC*N60*J14FSTICBMT
NAUT8004367224201601310850LEAD00000100000044820419CUS-20682208               AMC*N60*J14FSTICBMT
NAUT8004367224201601310933LEAD00000100000093258559CUS-20682350               AMC*N60*J14FSTICBMT
NAUT8004367224201601311128LEAD00000100000006123860CUS-19781142               AMC*N60*J14FSTICBMT
NAUT8004367224201601311130LEAD00000100000087144505CUS-20682859               AMC*N60*J14FSTICBMT
NAUT8004367224201601311131LEAD00000100000089011949CUS-20682860               AMC*N60*J14FSTICBMT
NAUT8004367224201601311152LEAD00000100000007109201CUS-20682948               AMC*N60*J14FSTICBMT
NAUT8004416530201601310923LEAD00000100000060552815CUS-20682324               DTVLN60*HKINGTICTRC
NAUT8004416530201601310925LEAD00000100000083830208CUS-20682335               DTVLN60*HKINGTICTRC
NAUT8004416530201601310932LEAD00000100000033513352CUS-20682345               DTVLN60*HKINGTICTRC
NAUT8004416530201601310948LEAD00000100000038063901CUS-20682412               DTVLN60*HKINGTICTRC
NAUT8004416790201601310653LEAD00000100000042420909CUS-20681880               LMN*N60*HKINGTICTRC
NAUT8004416790201601310654LEAD00000100000019111267CUS-20681881               LMN*N60*HKINGTICTRC
NAUT8004416790201601310656LEAD00000100000090059310CUS-20681889               LMN*N60*HKINGTICTRC
NAUT8004416790201601310929LEAD00000100000061401309CUS-20682339               LMN*N60*HKINGTICTRC
NAUT8004416790201601310959LEAD00000100000002148781CUS-20682470               LMN*N60*HKINGTICTRC
NAUT8004416790201601310959LEAD00000100000031721229CUS-20682478               LMN*N60*HKINGTICTRC
NAUT8004416790201601311000LEAD00000100000033880863CUS-20682480               LMN*N60*HKINGTICTRC
NAUT8004419080201601311857LEAD00000100000010472347CUS-20684437               IONLN180HKINGTICTRC
NAUT8004419080201601312140LEAD00000100000046312219CUS-20684744               IONLN180HKINGTICTRC
NAUT8004419080201601312143LEAD00000100000027320276CUS-2992712               IONLN180HKINGTICTRC
NAUT8004419320201601311044LEAD00000100000020685410CUS-20682651               DLFEN180HKINGTICTRC
NAUT8004419320201601311045LEAD00000100000098146206CUS-20682653               DLFEN180HKINGTICTRC
NAUT8004511543201601310334LEAD00000100000031626229CUS-20681750               P02161STWMNCSYPFTRC
NAUT8004519287201601310537LEAD00000100000016134724CUS-20681788               ODORN60*J14FSTICBMT
NAUT8004697102201601310815LEAD00000100000071602CUS-20682050               MX22P60*J14FSTICBMT
NAUT8004697102201601310935LEAD00000100000071602CUS-20682359               MX22P60*J14FSTICBMT
