US Electronic Short Form Leads
NAUT8004019174201601240915ELED00000100000089012702CUS-20664704               dsetsf11cTRC
NAUT8004019174201601241052ELED00000100000014564315CUS-20665100               dsetsf11cTRC
NAUT8004019174201601241248ELED00000100000067063620CUS-20665525               dsetsf11cTRC
NAUT8004019174201601241345ELED00000100000074006CUS-20665734               dsetsf11cTRC
NAUT8004019174201601241348ELED00000100000032444CUS-20665747               dsetsf11cTRC
NAUT8004019174201601241349ELED00000100000077803979CUS-20665749               dsetsf11cTRC
NAUT8004019174201601241350ELED00000100000097754541CUS-20665756               dsetsf11cTRC
NAUT8004019174201601241352ELED00000100000046733260CUS-20665767               dsetsf11cTRC
NAUT8004019174201601241356ELED00000100000045458937CUS-20665775               dsetsf11cTRC
NAUT8004019174201601241356ELED00000100000095838916CUS-20665776               dsetsf11cTRC
NAUT8004019174201601241658ELED00000100000090621714CUS-20666390               dsetsf11cTRC
NAUT8004019174201601241736ELED00000100000093010CUS-20666508               dsetsf11cTRC
NAUT8004019174201601241837ELED00000100000029341864CUS-20666655               dsetsf11cTRC
NAUT8004019174201601241937ELED00000100000053511608CUS-20666808               dsetsf11cTRC
NAUT8004019174201601241954ELED00000100000043147412CUS-20666841               dsetsf11cTRC
NAUT8004019174201601241956ELED00000100000089147702CUS-20666850               dsetsf11cTRC
NAUT8004019174201601242030ELED00000100000076522CUS-20666902               dsetsf11cTRC
NAUT8004019174201601242035ELED00000100000082081307CUS-20666909               dsetsf11cTRC
NAUT8004368368201601240638ELED00000100000000803340CUS-20664221               DSETDIRTRC
NAUT8004368368201601240638ELED00000100000065301660CUS-20664224               DSETDIRTRC
NAUT8004368368201601240640ELED00000100000016407814CUS-20664230               DSETDIRTRC
NAUT8004368368201601240645ELED00000100000019601484CUS-20664246               DSETDIRTRC
NAUT8004368368201601240720ELED00000100000021061443CUS-20664318               SAWOTVTCTRC
NAUT8004368368201601240811ELED00000100000016635814CUS-20664401               DSETDIRTRC
NAUT8004368368201601240813ELED00000100000021703CUS-20664418               DSETDIRTRC
NAUT8004368368201601240813ELED00000100000027597CUS-20664414               DSETDIRTRC
