US Short Form Leads
NAUT8004744718201407210935LEAD00000100000011704718CUS-19612946               LMN*L60*GRT2HTICTRC
NAUT8004744718201407210935LEAD00000100000048203313CUS-19612943               LMN*L60*GRT2HTICTRC
NAUT8004744718201407210938LEAD00000100000048035586CUS-19612953               LMN*L60*GRT2HTICTRC
NAUT8004744718201407210941LEAD00000100000030094770CUS-19612944               LMN*L60*GRT2HTICTRC
NAUT8004744718201407210946LEAD00000100000078221210CUS-19612965               LMN*L60*GRT2HTICTRC
NAUT8004760480201407210255LEAD00000100000096067530CUS-19612570               INSPN180GRT2HTICTRC
NAUT8004760480201407210923LEAD00000100000036618251CUS-19612896               INSPN180GRT2HTICTRC
NAUT8004760480201407211600LEAD00000100000076060817CUS-19613679               INSPN180GRT2HTICTRC
NAUT8004760480201407211954LEAD00000100000029556843CUS-19614149               INSPN180GRT2HTICTRC
NAUT8004760480201407211956LEAD00000100000024501434CUS-19614155               INSPN180GRT2HTICTRC
NAUT8004760480201407211956LEAD00000100000097404541CUS-19614153               INSPN180GRT2HTICTRC
NAUT8004760480201407211957LEAD00000100000035114205CUS-19614156               INSPN180GRT2HTICTRC
NAUT8004760480201407211958LEAD00000100000038334731CUS-19614163               INSPN180GRT2HTICTRC
NAUT8004760480201407212000LEAD00000100000059301406CUS-19614166               INSPN180GRT2HTICTRC
NAUT8004768406201407212334LEAD00000100000029353972CUS-19614552               METVN120BOOMRTICTRC
NAUT8004809199201407210611LEAD00000100000056716218CUS-19612615               SUNDN120BFMAXTICBMT
NAUT8004809199201407210615LEAD00000100000067039316CUS-19612617               SUNDN120BFMAXTICBMT
NAUT8004809199201407210618LEAD00000100000075020903CUS-19612619               SUNDN120BFMAXTICBMT
NAUT8004809199201407210732LEAD00000100000030701678CUS-19612720               SUNDN120BFMAXTICBMT
NAUT8004809199201407210734LEAD00000100000039090601CUS-19612719               SUNDN120BFMAXTICBMT
NAUT8004809199201407210914LEAD00000100000095696707CUS-17682190               SUNDN120BFMAXTICBMT
NAUT8004809199201407210923LEAD00000100000023236CUS-19612920               SUNDN120BFMAXTICBMT
NAUT8004809199201407210924LEAD00000100000048111734CUS-19612923               SUNDN120BFMAXTICBMT
NAUT8004809199201407211219LEAD00000100000029511843CUS-19613279               SUNDN120BFMAXTICBMT
NAUT8004809199201407211228LEAD00000100000030317404CUS-19613295               SUNDN120BFMAXTICBMT
NAUT8004809199201407211301LEAD00000100000070770225CUS-19613367               SUNDN120BFMAXTICBMT
NAUT8004809199201407211343LEAD00000100000098922425CUS-7542916               SUNDN120BFMAXTICBMT
