US Electronic Short Form Leads
NAUT8002439827201411302221ELED00000100000089145702CUS-19843929               dseesf14aBMT
NAUT8002439827201411302229ELED00000100000034233CUS-19843933               dseesf14aBMT
NAUT8002439827201411302245ELED00000100000059859406CUS-19843944               dseesf14aBMT
NAUT8002439827201411302329ELED00000100000085298602CUS-19843987               dseesf14aBMT
NAUT8002439827201411302329ELED00000100000095608916CUS-19843986               dseesf14aBMT
NAUT8002439827201411302330ELED00000100000091384213CUS-19843988               dseesf14aBMT
NAUT8002439827201411302330ELED00000100000098203208CUS-19843989               dseesf14aBMT
NAUT8002615850201411300159ELED00000100000094521925CUS-19840496               DSEESF14FBMT
NAUT8002615850201411300859ELED00000100000011230347CUS-19841096               DSEESF14FBMT
NAUT8002615850201411300944ELED00000100000040361859CUS-19841244               DSEESF14FBMT
NAUT8002615850201411301054ELED00000100000054501715CUS-19841463               DSEESF14FBMT
NAUT8002615850201411301102ELED00000100000094027650CUS-19841495               DSEESF14FBMT
NAUT8002615850201411301245ELED00000100000043230614CUS-19841982               DSEESF14FBMT
NAUT8002615850201411301445ELED00000100000014571585CUS-19842514               DSEESF14FBMT
NAUT8002615850201411301445ELED00000100000019565484CUS-19842515               DSEESF14FBMT
NAUT8002615850201411301522ELED00000100000046268317CUS-19842659               DSEESF14FBMT
NAUT8002615850201411301636ELED00000100000013021315CUS-19842986               DSEESF14FBMT
NAUT8002615850201411301751ELED00000100000078504956CUS-19843248               DSEESF14FBMT
NAUT8002615850201411301804ELED00000100000045140513CUS-19843309               DSEESF14FBMT
NAUT8002615850201411301914ELED00000100000007701732CUS-19843574               DSEESF14FBMT
NAUT8002615850201411301917ELED00000100000030047404CUS-19843586               DSEESF14FBMT
NAUT8002615850201411301932ELED00000100000007032CUS-19843627               DSEESF14FBMT
NAUT8002615850201411301946ELED00000100000073099417CUS-19843648               DSEESF14FBMT
NAUT8002696045201411300616ELED00000100000008501646CUS-19840601               dsetsf11gTRC
NAUT8002696045201411300703ELED00000100000077088CUS-19840702               dsetsf11gTRC
NAUT8002696045201411300706ELED00000100000048006810CUS-19840719               dsetsf11gTRC
NAUT8002696045201411300707ELED00000100000052653319CUS-19840720               dsetsf11gTRC
NAUT8002696045201411300746ELED00000100000021205443CUS-19840833               dsetsf11gTRC
NAUT8002696045201411300746ELED00000100000037072615CUS-19840836               dsetsf11gTRC
NAUT8002696045201411300746ELED00000100000053916406CUS-19840837               dsetsf11gTRC
NAUT8002696045201411300746ELED00000100000076501817CUS-19840834               dsetsf11gTRC
NAUT8002696045201411300747ELED00000100000002809401CUS-19840840               dsetsf11gTRC
NAUT8002696045201411300747ELED00000100000033597352CUS-19840842               dsetsf11gTRC
NAUT8002696045201411300747ELED00000100000090255323CUS-19840841               dsetsf11gTRC
NAUT8002696045201411300747ELED00000100000094928707CUS-19840838               dsetsf11gTRC
NAUT8002696045201411300748ELED00000100000060617773CUS-19840846               dsetsf11gTRC
NAUT8002696045201411300749ELED00000100000030215404CUS-19840848               dsetsf11gTRC
NAUT8002696045201411300749ELED00000100000032927321CUS-19840851               dsetsf11gTRC
NAUT8002696045201411300752ELED00000100000023434757CUS-19840863               dsetsf11gTRC
NAUT8002696045201411300756ELED00000100000033023954CUS-19840873               dsetsf11gTRC
NAUT8002696045201411300805ELED00000100000075167214CUS-19840912               dsetsf11gTRC
NAUT8002696045201411300809ELED00000100000060653312CUS-19840925               dsetsf11gTRC
NAUT8002696045201411300900ELED00000100000027105336CUS-19841100               dsetsf11gTRC
NAUT8002696045201411300900ELED00000100000080005303CUS-19841099               dsetsf11gTRC
NAUT8002696045201411300901ELED00000100000002129857CUS-19841102               dsetsf11gTRC
NAUT8002696045201411300901ELED00000100000022312703CUS-19841103               dsetsf11gTRC
NAUT8002696045201411300902ELED00000100000026408304CUS-19841107               dsetsf11gTRC
NAUT8002696045201411300906ELED00000100000002532508CUS-19841122               dsetsf11gTRC
NAUT8002696045201411300913ELED00000100000077665409CUS-19841146               dsetsf11gTRC
NAUT8002696045201411300922ELED00000100000079766432CUS-19841193               dsetsf11gTRC
NAUT8002696045201411301104ELED00000100000084716435CUS-19841513               dsetsf11gTRC
NAUT8002696045201411301303ELED00000100000062002618CUS-19842069               dsetsf11gTRC
NAUT8002696045201411301319ELED00000100000037076615CUS-19842135               dsetsf11gTRC
NAUT8002696045201411301412ELED00000100000023323CUS-19842380               dsetsf11gTRC
NAUT8002696045201411301434ELED00000100000073701580CUS-19842464               dsetsf11gTRC
NAUT8002696045201411301537ELED00000100000029554CUS-19842733               dsetsf11gTRC
NAUT8002696045201411301604ELED00000100000053216832CUS-19842849               dsetsf11gTRC
NAUT8002696045201411301605ELED00000100000093906831CUS-19842853               dsetsf11gTRC
NAUT8002696045201411301625ELED00000100000035160256CUS-19842926               dsetsf11gTRC
NAUT8002696045201411301705ELED00000100000019971302CUS-19843083               dsetsf11gTRC
NAUT8002696045201411301705ELED00000100000075149972CUS-19843079               dsetsf11gTRC
NAUT8002696045201411301731ELED00000100000098498253CUS-19843186               dsetsf11gTRC
NAUT8002696045201411301751ELED00000100000093063CUS-19843246               dsetsf11gTRC
NAUT8002696045201411301817ELED00000100000088033505CUS-19843370               dsetsf11gTRC
NAUT8002696045201411301818ELED00000100000032218904CUS-19843375               dsetsf11gTRC
NAUT8002696045201411301818ELED00000100000036502251CUS-19843376               dsetsf11gTRC
NAUT8002696045201411301818ELED00000100000084337712CUS-19843373               dsetsf11gTRC
NAUT8002696045201411301819ELED00000100000008731732CUS-19843379               dsetsf11gTRC
NAUT8002696045201411301821ELED00000100000092646714CUS-19843388               dsetsf11gTRC
NAUT8002696045201411301832ELED00000100000092860909CUS-19843421               dsetsf11gTRC
NAUT8002696045201411301856ELED00000100000029205803CUS-19843504               dsetsf11gTRC
NAUT8002696045201411301920ELED00000100000091214818CUS-19843600               dsetsf11gTRC
NAUT8002696045201411301931ELED00000100000075217214CUS-19843625               dsetsf11gTRC
NAUT8002696045201411301950ELED00000100000088030575CUS-19843661               dsetsf11gTRC
NAUT8002952928201411301045ELED00000100000026554304CUS-19841411               dseesf14cBMT
NAUT8002952928201411301053ELED00000100000062231618CUS-19841459               dseesf14cBMT
NAUT8002952928201411301059ELED00000100000079532325CUS-19715426               dseesf14cBMT
NAUT8002952928201411301318ELED00000100000014895585CUS-19842129               dseesf14cBMT
NAUT8002952928201411301410ELED00000100000032046904CUS-19842368               dseesf14cBMT
NAUT8002952928201411301523ELED00000100000019512CUS-19842663               dseesf14cBMT
NAUT8002952928201411301523ELED00000100000035806256CUS-19842661               dseesf14cBMT
NAUT8002952928201411301659ELED00000100000010956845CUS-19843060               dseesf14cBMT
NAUT8002952928201411301702ELED00000100000079102806CUS-19843068               dseesf14cBMT
NAUT8002952928201411301723ELED00000100000010956CUS-19843165               dseesf14cBMT
NAUT8003310360201411301100ELED00000100000001106413CUS-19841487               DSEESF14JBMT
NAUT8003310360201411301100ELED00000100000032707407CUS-19841488               DSEESF14JBMT
NAUT8003310360201411301101ELED00000100000006457860CUS-19841494               DSEESF14JBMT
NAUT8003310360201411301101ELED00000100000015223412CUS-19841492               DSEESF14JBMT
NAUT8003310360201411301101ELED00000100000045171937CUS-19841490               DSEESF14JBMT
NAUT8003310360201411301114ELED00000100000040014502CUS-19841554               DSEESF14JBMT
NAUT8003310360201411301115ELED00000100000015701724CUS-19841555               DSEESF14JBMT
NAUT8003310360201411301115ELED00000100000061273309CUS-19841559               DSEESF14JBMT
NAUT8003310360201411301122ELED00000100000007104973CUS-19841602               DSEESF14JBMT
NAUT8003310360201411301122ELED00000100000077060713CUS-19841605               DSEESF14JBMT
NAUT8003310360201411301123ELED00000100000033458561CUS-19841606               DSEESF14JBMT
NAUT8003310360201411301132ELED00000100000089131CUS-19841653               DSEESF14JBMT
NAUT8003310360201411301133ELED00000100000001904617CUS-19841658               DSEESF14JBMT
NAUT8003310360201411301133ELED00000100000045833CUS-19841656               DSEESF14JBMT
NAUT8003310360201411301133ELED00000100000087109CUS-19841661               DSEESF14JBMT
NAUT8003310360201411301146ELED00000100000002151617CUS-19841714               DSEESF14JBMT
NAUT8003310360201411301147ELED00000100000010598914CUS-19841718               DSEESF14JBMT
NAUT8003310360201411301147ELED00000100000043212614CUS-19841720               DSEESF14JBMT
NAUT8003310360201411301147ELED00000100000077082832CUS-19841716               DSEESF14JBMT
NAUT8003310360201411301148ELED00000100000048098248CUS-19841721               DSEESF14JBMT
NAUT8003310360201411301149ELED00000100000014063CUS-19841727               DSEESF14JBMT
NAUT8003310360201411301218ELED00000100000079938915CUS-19841857               DSEESF14JBMT
NAUT8003310360201411301237ELED00000100000002025617CUS-19841945               DSEESF14JBMT
NAUT8003310360201411301246ELED00000100000001505774CUS-19841983               DSEESF14JBMT
NAUT8003310360201411301246ELED00000100000010034718CUS-19841985               DSEESF14JBMT
NAUT8003310360201411301247ELED00000100000092612949CUS-19841988               DSEESF14JBMT
NAUT8003310360201411301248ELED00000100000028625980CUS-19841994               DSEESF14JBMT
NAUT8003310360201411301248ELED00000100000034606352CUS-19841996               DSEESF14JBMT
NAUT8003310360201411301248ELED00000100000034731352CUS-19841995               DSEESF14JBMT
NAUT8003310360201411301248ELED00000100000075234214CUS-19841993               DSEESF14JBMT
NAUT8003310360201411301249ELED00000100000060107708CUS-19841999               DSEESF14JBMT
NAUT8003310360201411301250ELED00000100000064151214CUS-19842001               DSEESF14JBMT
NAUT8003310360201411301252ELED00000100000011581516CUS-19842016               DSEESF14JBMT
NAUT8003310360201411301318ELED00000100000032765CUS-19842125               DSEESF14JBMT
NAUT8003310360201411301319ELED00000100000003063603CUS-19842131               DSEESF14JBMT
NAUT8003310360201411301319ELED00000100000030004404CUS-19842133               DSEESF14JBMT
NAUT8003310360201411301319ELED00000100000042437270CUS-19842130               DSEESF14JBMT
NAUT8003310360201411301320ELED00000100000040243502CUS-19842139               DSEESF14JBMT
NAUT8003310360201411301321ELED00000100000007882908CUS-19842143               DSEESF14JBMT
NAUT8003310360201411301321ELED00000100000042345270CUS-19842146               DSEESF14JBMT
NAUT8003310360201411301322ELED00000100000040076CUS-19842154               DSEESF14JBMT
NAUT8003310360201411301339ELED00000100000076639CUS-19842238               DSEESF14JBMT
NAUT8003310360201411301345ELED00000100000040245502CUS-19842262               DSEESF14JBMT
NAUT8003310360201411301345ELED00000100000040358606CUS-19842259               DSEESF14JBMT
NAUT8003310360201411301345ELED00000100000085027602CUS-19842260               DSEESF14JBMT
NAUT8003310360201411301346ELED00000100000041472423CUS-19842267               DSEESF14JBMT
NAUT8003310360201411301346ELED00000100000075228469CUS-19842268               DSEESF14JBMT
NAUT8003310360201411301347ELED00000100000040342502CUS-19842271               DSEESF14JBMT
NAUT8003310360201411301348ELED00000100000041169606CUS-19842274               DSEESF14JBMT
NAUT8003310360201411301430ELED00000100000017057717CUS-19842442               DSEESF14JBMT
NAUT8003310360201411301430ELED00000100000040422859CUS-19842445               DSEESF14JBMT
NAUT8003310360201411301436ELED00000100000093705559CUS-19842476               DSEESF14JBMT
NAUT8003310360201411301437ELED00000100000038401931CUS-19842485               DSEESF14JBMT
NAUT8003310360201411301438ELED00000100000046360219CUS-19842487               DSEESF14JBMT
NAUT8003310360201411301515ELED00000100000035611256CUS-19842624               DSEESF14JBMT
NAUT8003310360201411301515ELED00000100000037354423CUS-19842621               DSEESF14JBMT
NAUT8003310360201411301521ELED00000100000063021314CUS-19842653               DSEESF14JBMT
NAUT8003310360201411301530ELED00000100000092024760CUS-19842697               DSEESF14JBMT
NAUT8003310360201411301544ELED00000100000084660801CUS-19842758               DSEESF14JBMT
NAUT8003310360201411301831ELED00000100000074063918CUS-19843416               DSEESF14JBMT
NAUT8003310360201411301851ELED00000100000063109314CUS-19843478               DSEESF14JBMT
NAUT8003310360201411301853ELED00000100000048105734CUS-19843484               DSEESF14JBMT
NAUT8003310360201411301916ELED00000100000094580209CUS-19843582               DSEESF14JBMT
NAUT8004018947201411300145ELED00000100000085053602CUS-19840487               dsetsf11aTRC
NAUT8004018947201411300707ELED00000100000030126678CUS-19840721               dsetsf11aTRC
NAUT8004018947201411300809ELED00000100000010974845CUS-19840926               dsetsf11aTRC
NAUT8004018947201411300832ELED00000100000011238646CUS-19840994               dsetsf11aTRC
NAUT8004018947201411300833ELED00000100000014206716CUS-19841006               dsetsf11aTRC
NAUT8004018947201411300925ELED00000100000019426610CUS-19841203               dsetsf11aTRC
NAUT8004018947201411300946ELED00000100000097123888CUS-19841254               dsetsf11aTRC
NAUT8004018947201411301030ELED00000100000091350661CUS-19841382               dsetsf11aTRC
NAUT8004018947201411301045ELED00000100000011365917CUS-19841413               dsetsf11aTRC
NAUT8004018947201411301208ELED00000100000092056760CUS-19841820               dsetsf11aTRC
NAUT8004018947201411301257ELED00000100000048101248CUS-19842041               dsetsf11aTRC
NAUT8004018947201411301306ELED00000100000077004281CUS-19842081               dsetsf11aTRC
NAUT8004018947201411301326ELED00000100000020623240CUS-19766699               dsetsf11aTRC
