US Short Form Leads
NAUT8009185197201512170827LEAD00000100000061101815CUS-4986340               SPKEN120JACKDTICBMT
NAUT8009185197201512170828LEAD00000100000027127336CUS-3719333               SPKEN120JACKDTICBMT
NAUT8009185197201512171037LEAD00000100000045440937CUS-20535233               SPKEN120JACKDTICBMT
NAUT8009185197201512171038LEAD00000100000010940845CUS-20535239               SPKEN120JACKDTICBMT
NAUT8009185197201512171042LEAD00000100000034638813CUS-20535248               SPKEN120JACKDTICBMT
NAUT8009185197201512171101LEAD00000100000015697724CUS-20535302               SPKEN120JACKDTICBMT
NAUT8009185197201512171101LEAD00000100000024578540CUS-20535301               SPKEN120JACKDTICBMT
NAUT8009185197201512171104LEAD00000100000005033802CUS-20535307               SPKEN120JACKDTICBMT
NAUT8009185197201512171108LEAD00000100000062817618CUS-20535309               SPKEN120JACKDTICBMT
NAUT8009209869201512171333LEAD00000100000027892252CUS-20535680               M67*P60*NOTSTTICBMT
NAUT8009213028201512170533LEAD00000100000030045678CUS-20534676               M617P60*NOTSTTICBMT
NAUT8009213028201512170936LEAD00000100000074107918CUS-20535095               M617P60*NOTSTTICBMT
NAUT8009213028201512171219LEAD00000100000007093551CUS-20535530               M617P60*NOTSTTICBMT
NAUT8009213028201512171333LEAD00000100000062206618CUS-20535681               M617P60*NOTSTTICBMT
NAUT8009213028201512171333LEAD00000100000089120CUS-20535684               M617P60*NOTSTTICBMT
NAUT8009213028201512171334LEAD00000100000028739CUS-20535686               M617P60*NOTSTTICBMT
NAUT8009213028201512171533LEAD00000100000036853334CUS-20535879               M617P60*NOTSTTICBMT
NAUT8009213028201512172334LEAD00000100000069101308CUS-20536483               M617P60*NOTSTTICBMT
NAUT8009272229201512170751LEAD00000100000032221904CUS-20534788               ION*N120HKINGTICTRC
NAUT8009272229201512170752LEAD00000100000010014646CUS-20534789               ION*N120HKINGTICTRC
NAUT8009272229201512170755LEAD00000100000060453708CUS-20534793               ION*N120HKINGTICTRC
NAUT8009272229201512171052LEAD00000100000091730310CUS-20535261               ION*N120HKINGTICTRC
NAUT8009272229201512171133LEAD00000100000046234317CUS-20535384               ION*N120HKINGTICTRC
NAUT8009272229201512171134LEAD00000100000023434252CUS-20535389               ION*N120HKINGTICTRC
NAUT8009272229201512171135LEAD00000100000077023832CUS-20535398               ION*N120HKINGTICTRC
NAUT8009272229201512171138LEAD00000100000010453646CUS-20180530               ION*N120HKINGTICTRC
NAUT8009272229201512171141LEAD00000100000016335814CUS-20535411               ION*N120HKINGTICTRC
NAUT8009272229201512171142LEAD00000100000070062504CUS-20535390               ION*N120HKINGTICTRC
NAUT8009272229201512171215LEAD00000100000007960201CUS-2808111               ION*N120HKINGTICTRC
NAUT8009272229201512171234LEAD00000100000084120801CUS-20535556               ION*N120HKINGTICTRC
NAUT8009272229201512171734LEAD00000100000049738989CUS-20536080               ION*N120HKINGTICTRC
NAUT8009315139201512170632LEAD00000100000033002305CUS-20534718               HGTVN5MINFIVE*TICTRC
NAUT8009521867201512172134LEAD00000100000045042513CUS-20536406               LAFFN120JACKDTICBMT
NAUT8009524396201512170652LEAD00000100000039648601CUS-20534744               ARTSN60*JACKDTICBMT
NAUT8009524396201512170910LEAD00000100000001105202CUS-20506479               ARTSN60*JACKDTICBMT
NAUT8009524396201512170911LEAD00000100000095351209CUS-6068897               ARTSN60*JACKDTICBMT
