US Short Form Leads
NAUT8009521784201411131530LEAD00000100000002893401CUS-19802679               FOX*NVODWALKATICTRC
NAUT8009522961201411130932LEAD00000100000020744CUS-19801898               FX**L60*WLKMFTICTRC
NAUT8009523012201411130158LEAD00000100000060565630CUS-19801428               USA*L60*WLKMFTICTRC
NAUT8009527032201411130849LEAD00000100000028110704CUS-19801770               FOODN60*WLKMFTICTRC
NAUT8009527032201411131128LEAD00000100000029527843CUS-19802177               FOODN60*WLKMFTICTRC
NAUT8009527032201411131129LEAD00000100000076308940CUS-19802183               FOODN60*WLKMFTICTRC
NAUT8009527032201411131131LEAD00000100000025314304CUS-19802192               FOODN60*WLKMFTICTRC
NAUT8009527032201411131428LEAD00000100000091387323CUS-19802588               FOODN60*WLKMFTICTRC
NAUT8009527032201411131429LEAD00000100000094582408CUS-19802590               FOODN60*WLKMFTICTRC
NAUT8009531097201411130916LEAD00000100000054603608CUS-13183746               VH1CN120MRYMXTICBMT
NAUT8009531097201411131456LEAD00000100000001888781CUS-19802635               VH1CN120MRYMXTICBMT
NAUT8009563180201411131722LEAD00000100000019090215CUS-19802870               GAMLL120WLKMFTICTRC
NAUT8009563180201411132157LEAD00000100000066112913CUS-19803192               GAMLL120WLKMFTICTRC
